Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
FLWS,"1-800 FLOWERS.COM, Inc.",3.93,254619539.9,n/a,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
FCTY,"1st Century Bancshares, Inc",4.6,41942689.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty
FCCY,1st Constitution Bancorp (NJ),9,46187397,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,22.85,554712792.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
FUBC,"1st United Bancorp, Inc. (FL)",6.34,216005511.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fubc
VNET,"21Vianet Group, Inc.",10.89,609113996.4,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
SSRX,3SBio Inc.,13.63,300934384.8,n/a,2007,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ssrx
JOBS,"51job, Inc.",44.45,1280210673,n/a,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
EGHT,8x8 Inc,6.34,450689392.7,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",14.49,188699647.5,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",25.41,750603141.8,n/a,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
AONE,"A123 Systems, Inc.",0.313,53384487.17,n/a,2009,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aone
AAON,"AAON, Inc.",19.96,489632512.5,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
ASTM,"Aastrom Biosciences, Inc.",1.69,71975369.44,n/a,1997,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/astm
ABAX,"ABAXIS, Inc.",36.23,794378980,n/a,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABMD,"ABIOMED, Inc.",20.27,801227026.3,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,2.25,207753878.3,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
ACTG,Acacia Research Corporation,29,1441714207,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",22.66,945629921.1,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,2.22,117726620,n/a,1985,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACCL,"Accelrys, Inc.",8.18,454351425.1,n/a,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/accl
ANCX,Access National Corporation,13.77,141504196.6,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
ARAY,Accuray Incorporated,6.01,432760062.7,n/a,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",3.45,78056250,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
ACET,Aceto Corporation,9.78,264846282.7,n/a,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/acet
ACHN,"Achillion Pharmaceuticals, Inc.",8.28,653738134.7,n/a,2006,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
ACIW,"ACI Worldwide, Inc.",44.16,1731766460,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
APKT,"Acme Packet, Inc.",18.75,1290073650,n/a,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/apkt
ACNB,ACNB Corporation,15.27,90941019.45,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",25.1,1006341152,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
ACFN,"Acorn Energy, Inc.",10.27,184107743,n/a,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acfn
ACTS,"Actions Semiconductor Co., Ltd.",1.64,141040000,n/a,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts
ACPW,"Active Power, Inc.",0.85,81096486.35,n/a,2000,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/acpw
ATVI,"Activision Blizzard, Inc",11.98,13310813718,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
BIRT,Actuate Corporation,7.09,349379658.7,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/birt
ACUR,"Acura Pharmaceuticals, Inc.",1.81,83012793.82,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acur
ACXM,Acxiom Corporation,18.36,1377537709,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
ADES,"ADA-ES, Inc.",24,240333840,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades
ADUS,Addus HomeCare Corporation,5.35,57878349.05,n/a,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",2.1999,22415045.09,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey
ADEP,"Adept Technology, Inc.",4.22,44920929.4,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/adep
ADBE,Adobe Systems Incorporated,33.41,16429787831,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
ADTN,"ADTRAN, Inc.",20.16,1275550980,n/a,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
AEIS,"Advanced Energy Industries, Inc.",13.7,517562586.7,n/a,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
ADVS,"Advent Software, Inc.",25.05,1268913787,n/a,1995,Technology,EDP Services,http://www.nasdaq.com/symbol/advs
AVCA,"Advocat, Inc.",6.02,35417134.9,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/avca
AEGR,"Aegerion Pharmaceuticals, Inc.",15.1,384576146.9,n/a,2010,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aegr
AEGN,Aegion Corp,21.13,830158736.3,n/a,2000,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
AEHR,Aehr Test Systems,1.12,10279380.16,n/a,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr
AEPI,AEP Industries Inc.,54.94,303595473.2,n/a,1986,Capital Goods,Specialty Chemicals,http://www.nasdaq.com/symbol/aepi
AVAV,"AeroVironment, Inc.",22.93,510479262.6,n/a,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav
AEZS,AEterna Zentaris Inc.,0.6281,70578168.7,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs
ATRM,Aetrium Incorporated,0.98,10565821.98,n/a,1993,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/atrm
AFCE,"AFC Enterprises, Inc.",26.49,636636315.7,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/afce
AFFY,"Affymax, Inc.",20.25,732883099.5,n/a,2006,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/affy
AFFX,"Affymetrix, Inc.",4.09,288809075.9,n/a,1996,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/affx
AGEN,Agenus Inc.,4.5,110095578,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen
AGYS,"Agilysys, Inc.",8.66,191436409.9,n/a,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/agys
AIRM,Air Methods Corporation,121.05,1559707945,n/a,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/airm
AIRT,"Air T, Inc.",8.48,20744505.28,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt
ATSG,"Air Transport Services Group, Inc",4.76,305761389.4,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg
AMCN,AirMedia Group Inc,1.82,113975312.4,n/a,1995,Technology,Advertising,http://www.nasdaq.com/symbol/amcn
AIXG,Aixtron SE,15.54,1566766871,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aixg
AKAM,"Akamai Technologies, Inc.",38.84,6886583994,n/a,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
AKRX,"Akorn, Inc.",14.4,1369380384,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
ALSK,"Alaska Communications Systems Group, Inc.",2.32,105937371.2,n/a,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk
AMRI,"Albany Molecular Research, Inc.",3.42,105356410.6,n/a,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri
ALCS,"ALCO Stores, Inc.",8.46,31512442.5,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/alcs
ALXN,"Alexion Pharmaceuticals, Inc.",111.73,21570533689,n/a,1996,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
ALXA,"Alexza Pharmaceuticals, Inc.",4.86,58498080.12,n/a,2006,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxa
ALCO,"Alico, Inc.",31.27,229965114.8,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",37.55,3054794185,n/a,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",2.49,78266788.05,n/a,2010,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim
ALKS,Alkermes plc,19.49,2550438831,n/a,1991,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
ALGT,Allegiant Travel Company,62.99,1211572273,n/a,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt
ALLB,"Alliance Bancorp, Inc. of Pennsylvania",12.51,68391381.87,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/allb
ABVA,Alliance Bankshares Corporation,4.7792,24421563.84,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/abva
AFOP,"Alliance Fiber Optic Products, Inc.",9.33,82150024.89,n/a,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/afop
ALNC,Alliance Financial Corporation,38.89,186055515.7,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/alnc
AHGP,"Alliance Holdings GP, L.P.",49.88,2985966440,n/a,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp
ARLP,"Alliance Resource Partners, L.P.",62.35,2299153070,n/a,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp
AHPI,"Allied Healthcare Products, Inc.",2.8,22748280.8,n/a,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi
