Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
DDD,3D Systems Corporation,39.4,2182871187,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
MMM,3M Company,93.78,64831939240,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
SVN,7 Days Group Holdings Limited,9.29,464289219.2,n/a,2009,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/svn
AHC,A.H. Belo Corporation,4.77,104737823.6,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
AIR,AAR Corp.,17.04,680581468.1,n/a,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",28.44,2155849379,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,19.89,45615388288,n/a,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,69.12,1.08472E+11,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
ANF,Abercrombie & Fitch Company,38.49,3178225725,n/a,1996,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf
ABM,ABM Industries Incorporated,18.82,1020583268,n/a,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,25.8,1189277935,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr
ACN,Accenture plc.,65.6,44594818205,n/a,1986,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn
ACMP,"Access Midstream Partmers, L.P.",31.42,4650116326,n/a,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/acmp
ACCO,Acco Brands Corporation,6.93,783770449.8,n/a,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco
AH,"Accretive Health, Inc.",12.12,1204833274,n/a,2010,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/ah
ACW,Accuride Corporation New,5.25,248772898.5,n/a,2005,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/acw
ACE,Ace Limited,76.39,25903264387,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ace
ATV,"Acorn International, Inc.",2.6,77946944.4,n/a,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv
ATU,Actuant Corporation,30.19,2199352519,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu
AYI,Acuity Brands Inc,67.45,2856479778,n/a,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi
ADX,Adams Express Company (The),11.48,1045900531,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx
AGRO,Adecoagro S.A.,10.37,1257486940,n/a,1994,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro
PVD,"Administradora de Fondos de Pensiones-Provida, S.A.",94.16,2079784800,n/a,1994,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pvd
AAP,Advance Auto Parts Inc,67.89,4978209814,n/a,1993,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap
AMD,"Advanced Micro Devices, Inc.",4.01,2837295975,n/a,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
ASX,"Advanced Semiconductor Engineering, Inc.",3.86,5859721914,n/a,1996,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx
AAV,Advantage Oil & Gas Ltd,3.74,629751814.1,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav
ATE,Advantest Corporation (Kabushiki Kaisha Advantest) ADS,14.75,2555752855,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ate
AVK,Advent Claymore Convertible Securities and Income Fund,16.16,381066972.3,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk
AGC,Advent Claymore Convertible Securities and Income Fund II,6.71,216335231.2,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc
LCM,Advent/Claymore Enhanced Growth & Income Fund,9.51,129364767.8,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm
ACM,Aecom Technology Corporation,21.34,2413061046,n/a,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm
ANW,Aegean Marine Petroleum Network Inc.,7.12,331688040.9,n/a,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw
AEB,Aegon NV,23.4,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb
AED,Aegon NV,24.82,0,n/a,1995,Finance,Life Insurance,http://www.nasdaq.com/symbol/aed
AEF,Aegon NV,25.17,0,n/a,1990,Finance,Life Insurance,http://www.nasdaq.com/symbol/aef
AEG,Aegon NV,5.88,11228765820,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeg
AEH,Aegon NV,25.46,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeh
AEK,Aegon NV,27.8,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aek
AEV,Aegon NV,24.98,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aev
AER,Aercap Holdings N.V.,12.7,1895251810,n/a,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer
ARX,Aeroflex Holding Corp.,6.78,575295665,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/arx
ARO,Aeropostale Inc,14.26,1158865124,n/a,2002,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/aro
AET,Aetna Inc.,39.13,13077246000,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet
AMG,"Affiliated Managers Group, Inc.",126.65,6503240411,n/a,1997,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg
